# data1.dat
#  X    Y
0     0
1000  0
1000  -573
975  -573
975  -1041
142  -1041
142  -174
657  -174
657  767
144  767
144  768
-236  768
-236  433
-897  433
-897  1158
-1403  1158
-1403  793
-1506  793
-1506  1780
-1931  1780
-1931  1024
-1802  1024
-1802  1177
-1476  1177
-1476  880
-1932  880
-1932  1512
-2074  1512
-2074  846
-1210  846
-1210  1101
-1125  1101
-1125  1762
-1691  1762
-1691  1887
-1246  1887
-1246  1594
-951  1594
-951  1608
-770  1608
-770  2380
-394  2380
-394  2229
-540  2229
-540  2573
-1487  2573
-1487  3092
-1942  3092
-1942  3324
-2815  3324
-2815  2707
-2672  2707
-2672  3307
-2018  3307
-2018  3321
-1205  3321
-1205  3145
-1648  3145
-1648  2433
-1418  2433
-1418  1804
-1972  1804
-1972  918
-2903  918
-2903  1509
-2187  1509
-2187  605
-1582  605
-1582  781
-781  781
-781  -130
-1527  -130
-1527  186
-1497  186
-1497  -54
-522  -54
-522  875
-1401  875
-1401  580
-1457  580
-1457  -82
-1028  -82
-1028  -199
-746  -199
-746  517
-689  517
-689  962
-696  962
-696  1448
-549  1448
-549  2439
201  2439
201  2691
335  2691
335  2648
-75  2648
-75  3405
177  3405
177  2810
1163  2810
1163  1832
280  1832
280  2496
547  2496
547  3214
575  3214
575  2487
1501  2487
1501  2092
1420  2092
1420  2162
1353  2162
1353  2254
1562  2254
1562  2887
1309  2887
1309  3685
2129  3685
2129  2869
2883  2869
2883  2223
3729  2223
3729  3086
2861  3086
2861  2175
2183  2175
2183  3068
2869  3068
2869  3534
2716  3534
2716  4418
2127  4418
2127  3458
1203  3458
1203  2855
1296  2855
1296  3373
1005  3373
1005  3697
938  3697
938  3737
1660  3737
1660  3353
1855  3353
1855  4269
1919  4269
1919  4935
2815  4935
2815  5795
3203  5795
3203  6628
2541  6628
2541  6820
3108  6820
3108  6269
2550  6269
2550  6258
1876  6258
1876  6239
1207  6239
1207  6129
1888  6129
1888  7011
891  7011
891  6476
1574  6476
1574  6163
670  6163
670  5489
194  5489
194  6458
-270  6458
-270  6800
304  6800
304  7781
709  7781
709  8133
1140  8133
1140  7704
811  7704
811  7864
238  7864
238  6886
1168  6886
1168  6203
1760  6203
1760  7080
1672  7080
1672  7592
2348  7592
2348  7156
3056  7156
3056  6969
2392  6969
2392  6355
1658  6355
1658  6835
1416  6835
1416  6346
2148  6346
2148  5470
1732  5470
1732  5994
1913  5994
